name,type,founding_year,major_construction_start,major_construction_end,peak_rooms,peak_year,abandonment_year,notes,source
Pueblo Bonito,core,850,850,1125,350,1080,1150,Largest great house; construction in stages over 275 years,Lekson 2006; Guiterman et al. 2015
Chetro Ketl,core,990,990,1115,300,1100,1150,Second largest; unique colonnade,Lekson 2006; Vivian & Hilpert 2012
Una Vida,core,850,850,1050,150,1000,1150,Early great house; expanded 900-1050,Lekson 2006
Penasco Blanco,core,900,900,1088,160,1050,1150,Western canyon; early construction,Lekson 2006
Hungo Pavi,core,950,950,1075,150,1060,1150,North side; gradual construction,Lekson 2006
Pueblo Alto,core,1020,1020,1100,130,1060,1150,Mesa top; associated road system,Lekson 2006
Pueblo del Arroyo,core,1075,1075,1105,280,1100,1150,Late construction; tri-walled structure,Lekson 2006
Kin Kletso,core,1125,1125,1140,100,1135,1150,Latest McElmo-style construction,Lekson 2006
Casa Rinconada,core,1040,1040,1070,great_kiva,1050,1150,Great kiva complex; ceremonial focus,Lekson 2006
Wijiji,core,1100,1100,1115,100,1110,1150,Easternmost; late construction,Lekson 2006
Tsin Kletzin,core,1100,1100,1115,80,1110,1150,South mesa; late McElmo-style,Lekson 2006
New Alto,core,1100,1100,1130,70,1115,1150,Near Pueblo Alto,Lekson 2006
Casa Chiquita,core,1085,1085,1115,50,1100,1150,Small great house,Lekson 2006
Kin Nahasbas,core,925,925,1000,30,975,1150,Small early great house,Lekson 2006
